timestamp,open,high,low,close,volume
2023-01-01 00:00:00,245.67,252.34,243.89,250.12,3200000
2023-01-02 00:00:00,250.12,257.89,248.45,255.67,3850000
2023-01-03 00:00:00,255.67,263.45,253.78,261.23,3420000
2023-01-04 00:00:00,261.23,268.90,259.67,266.45,4120000
2023-01-05 00:00:00,266.45,273.12,264.89,271.34,2980000

2026-04-12 00:00:00,607.06,607.44,590.21,592.0,65518
2026-04-11 00:00:00,605.54,614.12,603.4,607.05,94267
2026-04-10 00:00:00,603.03,610.34,597.4,605.54,104265
2026-04-09 00:00:00,601.15,612.1,596.94,603.03,107305
2026-04-08 00:00:00,620.11,621.46,599.45,601.16,162114
2026-04-07 00:00:00,600.1,624.85,592.2,620.1,163526
2026-04-06 00:00:00,601.5,610.29,596.25,600.11,104959
2026-04-05 00:00:00,593.36,604.06,587.13,601.5,78031
2026-04-04 00:00:00,588.32,596.58,587.1,593.36,59665
2026-04-03 00:00:00,583.52,590.31,581.93,588.31,76506
2026-04-02 00:00:00,610.81,613.6,570.31,583.52,297618
2026-04-01 00:00:00,617.42,621.9,609.58,610.81,126557
2026-03-31 00:00:00,609.29,619.77,598.82,617.43,139130
2026-03-30 00:00:00,606.09,621.4,605.09,609.29,122880
2026-03-29 00:00:00,611.08,615.3,596.42,606.09,83411
2026-03-28 00:00:00,613.95,619.0,609.9,611.08,70087
2026-03-27 00:00:00,628.86,631.87,605.86,613.95,131734
2026-03-26 00:00:00,647.67,648.47,623.01,628.86,94718
2026-03-25 00:00:00,638.31,652.8,637.5,647.66,117518
2026-03-24 00:00:00,639.12,640.17,626.99,638.3,101174
2026-03-23 00:00:00,626.41,650.85,620.33,639.11,257556
2026-03-22 00:00:00,630.7,637.7,622.16,626.41,102353
2026-03-21 00:00:00,642.11,646.38,627.76,630.7,54236
2026-03-20 00:00:00,639.16,647.65,636.38,642.11,96688
2026-03-19 00:00:00,652.28,656.4,633.32,639.15,117679
2026-03-18 00:00:00,668.62,676.47,644.43,652.27,144505
2026-03-17 00:00:00,679.7,686.53,663.4,668.61,147117
2026-03-16 00:00:00,673.77,687.82,670.13,679.71,226915
2026-03-15 00:00:00,657.7,679.0,654.46,673.77,92999
2026-03-14 00:00:00,655.72,658.27,650.11,657.7,55240
2026-03-13 00:00:00,651.72,679.0,650.34,655.73,231981
2026-03-12 00:00:00,651.47,657.7,641.63,651.72,101534
2026-03-11 00:00:00,642.01,656.29,635.02,651.46,120145
2026-03-10 00:00:00,634.64,652.36,634.38,642.0,100783
