timestamp,open,high,low,close,volume
2023-01-01 00:00:00,1200.50,1234.78,1198.23,1225.67,15000000
2023-01-02 00:00:00,1225.67,1256.89,1220.45,1248.90,17800000
2023-01-03 00:00:00,1248.90,1278.12,1245.67,1267.34,16200000
2023-01-04 00:00:00,1267.34,1290.45,1263.78,1285.67,19500000
2023-01-05 00:00:00,1285.67,1301.23,1280.90,1295.45,14300000

2026-04-12 00:00:00,2285.0,2288.57,2187.22,2191.68,165687
2026-04-11 00:00:00,2245.06,2329.93,2229.0,2284.99,214785
2026-04-10 00:00:00,2190.17,2257.99,2176.1,2245.05,272899
2026-04-09 00:00:00,2190.0,2246.0,2157.31,2190.2,275317
2026-04-08 00:00:00,2240.01,2270.55,2179.78,2190.0,404717
2026-04-07 00:00:00,2107.16,2273.87,2060.24,2240.01,460094
2026-04-06 00:00:00,2110.17,2174.79,2087.5,2107.16,356054
2026-04-05 00:00:00,2065.51,2123.49,2021.5,2110.17,157353
2026-04-04 00:00:00,2053.83,2084.0,2044.63,2065.52,86504
2026-04-03 00:00:00,2057.18,2081.76,2040.66,2053.83,136266
2026-04-02 00:00:00,2140.35,2159.37,2017.04,2057.17,346872
2026-04-01 00:00:00,2105.43,2167.85,2082.08,2140.35,399227
2026-03-31 00:00:00,2026.48,2124.03,2012.64,2105.43,421897
2026-03-30 00:00:00,1984.65,2085.0,1980.28,2026.48,338304
2026-03-29 00:00:00,1994.74,2019.65,1938.82,1984.64,166726
2026-03-28 00:00:00,1992.76,2047.45,1983.17,1994.74,154831
2026-03-27 00:00:00,2060.43,2077.19,1970.93,1992.75,394873
2026-03-26 00:00:00,2169.02,2172.19,2034.54,2060.43,338010
2026-03-25 00:00:00,2156.22,2199.02,2146.35,2169.02,275641
2026-03-24 00:00:00,2152.03,2175.16,2103.02,2156.23,316703
2026-03-23 00:00:00,2053.9,2198.57,2023.04,2152.03,614508
2026-03-22 00:00:00,2084.86,2127.21,2026.0,2053.89,313070
2026-03-21 00:00:00,2146.21,2168.27,2070.78,2084.87,132559
2026-03-20 00:00:00,2137.82,2176.84,2116.88,2146.22,300156
2026-03-19 00:00:00,2203.39,2233.72,2099.38,2137.81,490791
2026-03-18 00:00:00,2317.38,2350.0,2153.21,2203.39,488040
2026-03-17 00:00:00,2352.97,2376.66,2294.15,2317.39,493831
2026-03-16 00:00:00,2178.29,2386.02,2164.73,2352.97,845892
2026-03-15 00:00:00,2096.16,2202.87,2083.35,2178.3,280825
2026-03-14 00:00:00,2092.21,2106.09,2061.6,2096.16,152500
2026-03-13 00:00:00,2073.51,2209.03,2070.12,2092.22,599657
2026-03-12 00:00:00,2051.97,2095.0,2017.59,2073.52,400507
2026-03-11 00:00:00,2036.5,2085.58,2007.17,2051.97,350061
2026-03-10 00:00:00,1992.97,2088.19,1991.0,2036.51,463411
2026-03-09 00:00:00,1937.11,2053.52,1929.65,1992.98,550825
2026-03-08 00:00:00,1969.6,1979.8,1916.14,1937.1,391189
2026-03-07 00:00:00,1978.68,1996.04,1948.09,1969.59,184459
2026-03-06 00:00:00,2072.86,2093.33,1955.95,1978.68,411597
2026-03-05 00:00:00,2127.28,2163.66,2054.75,2072.86,432157
2026-03-04 00:00:00,1982.81,2199.0,1945.08,2127.28,737644
2026-03-03 00:00:00,2027.34,2041.48,1929.56,1982.8,509329
2026-03-02 00:00:00,1939.71,2090.0,1920.0,2027.35,577406
2026-03-01 00:00:00,1964.51,2054.8,1907.41,1939.71,529196
2026-02-28 00:00:00,1929.84,1984.99,1835.36,1964.51,461680
2026-02-27 00:00:00,2027.68,2063.52,1887.0,1929.84,428687
