timestamp,open,high,low,close,volume
2023-01-01 00:00:00,12.45,12.89,12.34,12.67,4500000
2023-01-02 00:00:00,12.67,13.12,12.56,12.98,5200000
2023-01-03 00:00:00,12.98,13.45,12.89,13.23,4800000
2023-01-04 00:00:00,13.23,13.67,13.12,13.56,6100000
2023-01-05 00:00:00,13.56,13.89,13.45,13.78,4300000

2026-04-12 00:00:00,84.94,85.0,81.84,81.96,1290194
2026-04-11 00:00:00,84.83,86.26,83.8,84.93,1570901
2026-04-10 00:00:00,83.33,85.67,82.62,84.83,2186078
2026-04-09 00:00:00,82.56,85.95,81.4,83.33,2775927
2026-04-08 00:00:00,85.56,85.9,82.24,82.57,2952758
2026-04-07 00:00:00,80.03,87.02,78.38,85.56,4312598
2026-04-06 00:00:00,81.89,83.2,79.6,80.03,2730370
2026-04-05 00:00:00,80.84,82.13,78.52,81.89,1732438
2026-04-04 00:00:00,80.39,81.61,79.57,80.83,1562930
2026-04-03 00:00:00,78.95,80.91,78.85,80.4,2230839
2026-04-02 00:00:00,81.19,81.77,76.7,78.94,4210024
2026-04-01 00:00:00,83.19,86.65,80.77,81.18,4676736
2026-03-31 00:00:00,82.55,84.62,80.08,83.2,4272567
2026-03-30 00:00:00,81.45,84.99,81.15,82.54,3025854
2026-03-29 00:00:00,82.09,83.24,78.96,81.44,1624673
2026-03-28 00:00:00,83.11,84.29,81.69,82.09,1667010
2026-03-27 00:00:00,86.52,87.04,81.86,83.11,2840562
2026-03-26 00:00:00,91.7,91.98,85.45,86.53,3566192
2026-03-25 00:00:00,90.8,93.47,90.71,91.7,2652534
2026-03-24 00:00:00,91.44,92.22,88.42,90.8,3086042
2026-03-23 00:00:00,86.21,92.26,85.11,91.43,4561706
2026-03-22 00:00:00,87.55,89.2,85.14,86.2,2138087
2026-03-21 00:00:00,89.85,90.81,87.14,87.56,1241845
2026-03-20 00:00:00,88.9,90.45,88.13,89.84,2201411
2026-03-19 00:00:00,90.07,91.41,87.0,88.89,2609542
2026-03-18 00:00:00,94.61,95.65,88.55,90.08,3293861
2026-03-17 00:00:00,96.19,96.95,93.15,94.62,2833557
2026-03-16 00:00:00,92.31,97.68,91.18,96.2,5621650
2026-03-15 00:00:00,88.04,93.23,87.36,92.3,2614547
2026-03-14 00:00:00,88.17,88.71,86.51,88.03,1498143
2026-03-13 00:00:00,86.83,92.98,86.71,88.18,4940378
2026-03-12 00:00:00,86.58,87.69,84.72,86.84,2913681
2026-03-11 00:00:00,85.88,88.09,84.36,86.58,3182175
2026-03-10 00:00:00,84.95,88.8,84.83,85.88,3643895
2026-03-09 00:00:00,81.6,87.06,81.54,84.96,3594057
2026-03-08 00:00:00,83.22,84.13,80.26,81.59,2102965
2026-03-07 00:00:00,84.69,85.07,82.28,83.22,1465281
2026-03-06 00:00:00,88.78,89.31,83.64,84.7,3135324
2026-03-05 00:00:00,90.86,92.96,87.91,88.77,3753710
2026-03-04 00:00:00,86.98,94.05,84.78,90.85,6329931
2026-03-03 00:00:00,86.65,87.46,82.5,86.97,4136742
2026-03-02 00:00:00,83.61,90.29,82.37,86.64,5123433
2026-03-01 00:00:00,84.35,88.9,81.69,83.6,4435194
2026-02-28 00:00:00,81.84,85.65,77.12,84.35,4737699
2026-02-27 00:00:00,85.91,88.29,80.32,81.85,3370499
2026-02-26 00:00:00,88.05,89.27,84.34,85.91,3356890
2026-02-25 00:00:00,78.99,92.1,78.73,88.06,5632749
2026-02-24 00:00:00,77.91,79.62,75.63,78.99,3592828
2026-02-23 00:00:00,82.8,82.85,77.15,77.9,5163373
2026-02-22 00:00:00,85.17,85.6,82.48,82.79,1798852
2026-02-21 00:00:00,84.68,86.72,83.97,85.17,1780748
2026-02-20 00:00:00,82.5,85.49,81.77,84.67,3754556
2026-02-19 00:00:00,81.61,82.67,79.61,82.5,2848277
2026-02-18 00:00:00,85.09,86.09,80.48,81.61,3137603
2026-02-17 00:00:00,86.45,87.69,82.92,85.08,2774655
2026-02-16 00:00:00,86.15,86.93,82.55,86.45,3559751
2026-02-15 00:00:00,88.06,91.26,84.89,86.16,3929085
2026-02-14 00:00:00,84.34,88.9,84.21,88.06,2698607
2026-02-13 00:00:00,78.39,85.63,77.53,84.33,3370390
2026-02-12 00:00:00,79.31,82.25,76.6,78.4,3196230
2026-02-11 00:00:00,82.99,84.39,78.04,79.3,3814913
2026-02-10 00:00:00,86.77,87.49,81.91,82.99,2975212
2026-02-09 00:00:00,86.99,88.69,82.86,86.77,3667652
2026-02-08 00:00:00,87.59,89.08,85.77,86.99,2534998
2026-02-07 00:00:00,87.45,89.2,84.16,87.59,4486649
2026-02-06 00:00:00,78.34,89.84,67.5,87.46,11811095
2026-02-05 00:00:00,92.11,93.43,77.6,78.35,10243355
2026-02-04 00:00:00,97.89,99.67,89.3,92.12,6251459
2026-02-03 00:00:00,104.54,105.1,96.64,97.89,4514018
2026-02-02 00:00:00,100.78,106.12,95.95,104.55,5574032
2026-02-01 00:00:00,105.58,106.69,98.02,100.79,4204256
2026-01-31 00:00:00,117.6,118.85,96.4,105.58,8567398
2026-01-30 00:00:00,117.82,119.12,112.14,117.59,4761006
2026-01-29 00:00:00,125.34,125.51,115.39,117.82,3730613
2026-01-28 00:00:00,127.18,128.34,124.78,125.35,1997863
2026-01-27 00:00:00,124.24,127.84,123.12,127.19,2036509
2026-01-26 00:00:00,118.85,125.6,118.53,124.24,2355751
2026-01-25 00:00:00,127.22,127.46,117.15,118.85,4540879
2026-01-24 00:00:00,127.43,128.12,126.64,127.21,807419
2026-01-23 00:00:00,128.47,130.2,125.28,127.43,2044063
